,Vm1 (mV)
976,1.7089844
977,1.8005371
978,1.8005371
979,1.9226074
980,2.0751953
981,1.8310547
982,1.8615723
983,1.8615723
984,1.8310547
985,1.8920898
986,1.8615723
987,1.8615723
988,2.0751953
989,1.8005371
990,1.7089844
991,1.8310547
992,1.8615723
993,1.8310547
994,1.8005371
995,1.9836426
996,1.8920898
997,1.8615723
998,1.7700195
999,2.0141602
1000,1.7089844
1001,1.8920898
1002,1.9836426
1003,1.9226074
1004,1.953125
1005,1.9226074
1006,1.9226074
1007,1.9226074
1008,2.0141602
1009,1.953125
1010,1.8615723
1011,2.105713
1012,1.8920898
1013,1.8615723
1014,1.9836426
1015,2.0751953
1016,1.9836426
1017,1.9836426
1018,1.9226074
1019,2.0751953
1020,2.1362305
1021,1.8920898
1022,1.9836426
1023,2.1362305
1024,2.0751953
1025,2.1972656
1026,2.105713
1027,2.166748
1028,1.953125
1029,2.105713
1030,2.0141602
1031,1.9836426
1032,2.0141602
1033,2.105713
1034,2.0446777
1035,2.0141602
1036,2.5634766
1037,2.1362305
1038,2.0446777
1039,2.0141602
1040,2.2277832
1041,2.3498535
1042,2.105713
1043,2.2583008
1044,2.166748
1045,2.1972656
1046,2.1972656
1047,2.2277832
1048,2.3498535
1049,2.0446777
1050,2.0751953
1051,2.1362305
1052,2.105713
1053,2.1362305
1054,2.105713
1055,2.4108887
1056,2.1972656
1057,2.3498535
1058,2.166748
1059,2.166748
1060,2.105713
1061,2.5634766
1062,2.1972656
1063,2.4414062
1064,2.2277832
1065,2.4719238
1066,2.2277832
1067,2.5024414
1068,2.0751953
1069,2.5024414
1070,2.2277832
1071,2.166748
1072,2.2277832
1073,2.3498535
1074,2.2888184
1075,2.2277832
1076,2.5634766
1077,2.2888184
1078,2.2888184
1079,2.2583008
1080,2.380371
1081,2.1972656
1082,2.5634766
1083,2.2888184
1084,2.4719238
1085,2.3498535
1086,2.4108887
1087,2.4108887
1088,2.4414062
1089,2.2277832
1090,2.166748
1091,2.380371
1092,2.4108887
1093,2.380371
1094,2.3498535
1095,2.3498535
1096,2.8076172
1097,2.4108887
1098,2.2888184
1099,2.380371
1100,2.3498535
1101,2.2888184
1102,2.3498535
1103,2.5634766
1104,2.4719238
1105,2.3498535
1106,2.2888184
1107,2.3498535
1108,2.4108887
1109,2.532959
1110,2.5024414
1111,2.5024414
1112,2.4719238
1113,2.4108887
1114,2.6855469
1115,2.532959
1116,2.4414062
1117,2.6245117
1118,2.6245117
1119,2.6245117
1120,2.5024414
1121,2.4719238
1122,2.4414062
1123,2.5634766
1124,2.4108887
1125,2.6245117
1126,2.4108887
1127,2.5634766
1128,2.4719238
1129,2.532959
1130,2.5634766
1131,2.5634766
1132,2.2888184
1133,2.5634766
1134,2.5939941
1135,2.5634766
1136,2.5634766
1137,2.6550293
1138,2.7160645
1139,2.5939941
1140,2.532959
1141,2.532959
1142,2.532959
1143,2.5939941
1144,2.5939941
1145,2.5024414
1146,2.5024414
1147,2.5634766
1148,2.6550293
1149,2.5939941
1150,2.6245117
1151,2.6245117
1152,2.5939941
1153,2.5939941
1154,2.6550293
1155,2.6855469
1156,2.6855469
1157,2.5634766
1158,2.8076172
1159,2.6245117
1160,2.6245117
1161,2.6855469
1162,2.7160645
1163,2.5634766
1164,2.4414062
1165,3.0212402
1166,3.0212402
1167,2.4719238
1168,2.5939941
1169,3.0212402
1170,2.7160645
1171,2.6550293
1172,2.7160645
1173,2.8686523
1174,2.6550293
1175,2.7160645
1176,3.1433105
1177,2.8076172
1178,2.7160645
1179,2.746582
1180,2.8381348
1181,2.7770996
1182,2.746582
1183,3.2043457
1184,2.9296875
1185,3.2043457
1186,2.6550293
1187,2.8686523
1188,2.7160645
1189,2.7770996
1190,2.8076172
1191,2.9296875
1192,2.9907227
1193,3.112793
1194,2.8686523
1195,2.8381348
1196,2.9296875
1197,2.960205
1198,2.8381348
1199,2.8381348
1200,2.8686523
1201,2.960205
1202,2.960205
1203,2.9296875
1204,3.2043457
1205,3.326416
1206,2.7770996
1207,3.0517578
1208,2.746582
1209,2.8686523
1210,2.9296875
1211,3.0212402
1212,3.1738281
1213,3.0517578
1214,3.112793
1215,2.9907227
1216,2.960205
1217,3.0212402
1218,3.112793
1219,3.0212402
1220,2.9907227
1221,2.960205
1222,2.960205
1223,2.9907227
1224,2.9907227
1225,3.0212402
1226,2.9296875
1227,2.960205
1228,2.9907227
1229,3.0212402
1230,3.0212402
1231,3.326416
1232,3.0517578
1233,3.2653809
1234,3.3874512
1235,3.1738281
1236,2.9907227
1237,3.0822754
1238,3.112793
1239,3.1433105
1240,3.0822754
1241,3.0517578
1242,3.112793
1243,3.2958984
1244,3.2653809
1245,3.1433105
1246,3.1433105
1247,3.112793
1248,2.960205
1249,3.112793
1250,3.0822754
1251,3.1433105
1252,3.2653809
1253,3.112793
1254,3.2043457
1255,3.1433105
1256,3.1433105
1257,3.2653809
1258,3.2348633
1259,3.1738281
1260,3.1738281
1261,3.0517578
1262,3.2653809
1263,3.479004
1264,3.326416
1265,3.3874512
1266,3.5705566
1267,3.2043457
1268,3.2653809
1269,3.2348633
1270,3.2348633
1271,3.2653809
1272,3.326416
1273,3.3874512
1274,3.2958984
1275,3.2348633
1276,3.3569336
1277,3.2958984
1278,3.2348633
1279,3.2653809
1280,3.1738281
1281,3.2958984
1282,3.692627
1283,3.6315918
1284,3.4179688
1285,3.5705566
1286,3.4179688
1287,3.6315918
1288,3.6621094
1289,3.5095215
1290,3.540039
1291,3.3569336
1292,3.3569336
1293,3.326416
1294,3.3874512
1295,3.5705566
1296,3.3569336
1297,3.4179688
1298,3.3569336
1299,3.3569336
1300,3.3874512
1301,3.3569336
1302,3.4179688
1303,3.6621094
1304,3.6621094
1305,3.326416
1306,3.6315918
1307,3.5095215
1308,3.479004
1309,3.326416
1310,3.326416
1311,3.3874512
1312,3.479004
1313,3.692627
1314,3.5705566
1315,3.4179688
1316,3.3874512
1317,3.8452148
1318,3.5705566
1319,3.540039
1320,3.540039
1321,3.5095215
1322,3.6315918
1323,3.9367676
1324,3.90625
1325,3.6010742
1326,3.7231445
1327,3.326416
1328,3.540039
1329,3.540039
1330,3.479004
1331,3.5705566
1332,3.5705566
1333,3.6315918
1334,3.5705566
1335,3.5705566
1336,3.479004
1337,3.6315918
1338,3.6315918
1339,3.6315918
1340,3.540039
1341,3.5705566
1342,3.6315918
1343,3.692627
1344,3.6315918
1345,3.6315918
1346,3.6010742
1347,3.6010742
1348,3.7231445
1349,3.7231445
1350,3.7841797
1351,3.8757324
1352,3.7841797
1353,3.6315918
1354,3.7231445
1355,3.753662
1356,3.6621094
1357,3.692627
1358,3.753662
1359,3.8452148
1360,3.7231445
1361,3.692627
1362,3.6621094
1363,3.6315918
1364,3.90625
1365,3.5095215
1366,3.6621094
1367,3.6621094
1368,3.692627
1369,3.7841797
1370,3.7231445
1371,3.753662
1372,3.7841797
1373,4.180908
1374,3.8452148
1375,3.8146973
1376,3.753662
1377,3.692627
1378,3.8452148
1379,3.8452148
1380,3.6621094
1381,3.7231445
1382,3.7231445
1383,3.753662
1384,3.7231445
1385,3.7841797
1386,3.8146973
1387,3.8146973
1388,3.7231445
1389,3.7841797
1390,3.8452148
1391,3.7231445
1392,3.9978027
1393,3.7841797
1394,4.180908
1395,3.9978027
1396,3.7841797
1397,3.9367676
1398,3.692627
1399,3.90625
1400,3.90625
1401,3.8757324
1402,3.8757324
1403,3.8452148
1404,3.9367676
1405,3.8757324
1406,3.753662
1407,3.8757324
1408,3.9367676
1409,3.90625
1410,3.90625
1411,4.119873
1412,4.3029785
1413,4.211426
1414,4.058838
1415,3.9672852
1416,3.9672852
1417,3.9367676
1418,3.9978027
1419,4.119873
1420,3.9978027
1421,3.9672852
1422,3.9672852
1423,3.9978027
1424,3.90625
1425,3.9367676
1426,4.0893555
1427,3.9978027
1428,4.0893555
1429,4.119873
1430,4.3640137
1431,4.058838
1432,3.9978027
1433,4.0893555
1434,4.2419434
1435,4.211426
1436,4.058838
1437,4.058838
1438,4.211426
1439,4.180908
1440,4.1503906
1441,4.0893555
1442,4.119873
1443,3.9978027
1444,4.119873
1445,4.058838
1446,4.0893555
1447,4.0893555
1448,4.1503906
1449,4.119873
1450,4.1503906
1451,4.4555664
1452,4.272461
1453,3.9672852
1454,4.486084
1455,4.211426
1456,4.180908
1457,4.0893555
1458,4.058838
1459,4.547119
1460,4.3945312
1461,4.272461
1462,4.180908
1463,4.180908
1464,4.2419434
1465,4.272461
1466,4.211426
1467,4.272461
1468,4.333496
1469,4.486084
1470,4.3029785
1471,4.180908
1472,4.211426
1473,4.3029785
1474,4.2419434
1475,4.272461
1476,4.3640137
1477,4.2419434
1478,4.272461
1479,4.180908
1480,4.6691895
1481,4.4555664
1482,4.272461
1483,4.211426
1484,4.3945312
1485,4.3640137
1486,4.3640137
1487,4.3945312
1488,4.425049
1489,4.5166016
1490,4.6691895
1491,4.333496
1492,4.333496
1493,4.3640137
1494,4.272461
1495,4.547119
1496,4.3945312
1497,4.3029785
1498,4.3640137
1499,4.3945312
1500,4.5776367
1501,4.638672
1502,4.638672
1503,4.4555664
1504,4.425049
1505,4.638672
1506,4.4555664
1507,4.486084
1508,4.79126
1509,4.333496
1510,4.4555664
1511,4.4555664
1512,4.5166016
1513,4.4555664
1514,4.486084
1515,4.547119
1516,4.211426
1517,4.5776367
1518,4.4555664
1519,4.3945312
1520,4.638672
1521,4.5166016
1522,4.699707
1523,4.638672
1524,4.5776367
1525,4.638672
1526,4.638672
1527,4.699707
1528,4.3029785
1529,4.425049
1530,4.4555664
1531,4.425049
1532,4.547119
1533,4.6691895
1534,4.5166016
1535,4.547119
1536,4.9438477
1537,4.5166016
1538,4.486084
1539,4.547119
1540,4.699707
1541,4.5166016
1542,4.4555664
1543,4.547119
1544,4.333496
1545,4.7302246
1546,4.699707
1547,4.79126
1548,4.699707
1549,4.547119
1550,4.547119
1551,4.6691895
1552,4.8217773
1553,4.699707
1554,4.638672
1555,4.547119
1556,4.638672
1557,4.91333
1558,4.7302246
1559,4.699707
1560,4.6691895
1561,4.7302246
1562,4.7302246
1563,4.852295
1564,5.0354004
1565,5.0354004
1566,4.7302246
1567,5.004883
1568,4.699707
1569,4.8217773
1570,4.7302246
1571,4.7302246
1572,4.852295
1573,4.9438477
1574,4.760742
1575,4.699707
1576,4.8217773
1577,5.0354004
1578,4.852295
1579,4.699707
1580,4.699707
1581,4.8828125
1582,4.760742
1583,4.8828125
1584,4.852295
1585,4.8828125
1586,4.8828125
1587,5.065918
1588,4.8217773
1589,4.8217773
1590,4.79126
1591,4.91333
1592,4.974365
1593,5.126953
1594,4.91333
1595,4.8828125
1596,5.0354004
1597,4.8828125
1598,4.8217773
1599,4.8217773
1600,4.91333
1601,5.0354004
1602,4.852295
1603,4.7302246
1604,5.004883
1605,4.6691895
1606,5.2490234
1607,4.9438477
1608,4.974365
1609,4.852295
1610,4.8217773
1611,4.91333
1612,5.0354004
1613,5.065918
1614,4.974365
1615,4.8828125
1616,4.9438477
1617,5.3100586
1618,5.0964355
1619,5.004883
1620,4.8828125
1621,4.91333
1622,4.9438477
1623,5.065918
1624,5.0354004
1625,5.218506
1626,-0.061035156
1627,-0.030517578
1628,0.15258789
1629,0.18310547
1630,0.36621094
1631,0.18310547
1632,0.061035156
1633,-0.030517578
1634,-0.12207031
1635,0.4272461
1636,0.091552734
1637,-0.030517578
1638,-0.030517578
1639,0.030517578
1640,0.091552734
1641,0.061035156
1642,0.12207031
1643,0.061035156
1644,0.061035156
1645,0.030517578
1646,0.030517578
1647,0.091552734
1648,0.030517578
1649,0.18310547
1650,-0.21362305
1651,0.24414062
1652,-0.030517578
1653,0.030517578
1654,0.15258789
1655,0.091552734
1656,0.061035156
1657,0.030517578
1658,-0.12207031
1659,0.36621094
1660,0.18310547
1661,0.15258789
1662,0.030517578
1663,0.030517578
1664,0.030517578
1665,0.061035156
