,Shutter (mV)
618,4932.556
619,4932.8613
620,4932.556
621,4932.556
622,4932.556
623,4932.556
624,4932.251
625,4932.8613
626,4933.1665
627,4933.4717
628,4932.556
629,4932.556
630,4932.556
631,4934.9976
632,4931.946
633,4932.8613
634,4932.251
635,4932.556
636,4934.082
637,4933.1665
638,4932.251
639,4932.8613
640,4932.8613
641,4933.4717
642,4932.251
643,4932.556
644,4933.777
645,4932.8613
646,4933.4717
647,4932.8613
648,4932.251
649,4933.4717
650,4933.4717
651,4932.8613
652,4932.556
653,4931.6406
654,4933.1665
655,4933.777
656,4932.556
657,4933.4717
658,4932.8613
659,4932.556
660,4932.251
661,4932.251
662,4933.4717
663,4932.251
664,4931.946
665,4932.556
666,4932.8613
667,4932.556
668,4932.8613
669,4932.556
670,4931.6406
671,4932.251
672,4932.556
673,4932.556
674,4932.251
675,4933.1665
676,4932.8613
677,4932.556
678,4932.556
679,4932.8613
680,4932.8613
681,4932.556
682,4932.8613
683,4933.1665
684,4933.1665
685,4932.8613
686,4931.946
687,4933.1665
688,4932.556
689,4933.1665
690,4932.556
691,4932.8613
692,4932.556
693,4932.251
694,4932.8613
695,4932.251
696,4932.556
697,4932.556
698,4932.8613
699,4932.251
700,4933.1665
701,4932.556
702,4932.8613
703,4931.6406
704,4932.8613
705,4932.556
706,4932.8613
707,4932.556
708,4932.8613
709,4931.6406
710,4932.251
711,4932.556
712,4931.946
713,4932.8613
714,4931.946
715,4933.1665
716,4932.8613
717,4932.251
718,4933.1665
719,4932.556
720,4931.6406
721,4932.251
722,4932.251
723,4932.556
724,4931.6406
725,4931.6406
726,4932.8613
727,4933.1665
728,4931.6406
729,4932.251
730,4932.8613
731,4932.8613
732,4932.556
733,4931.946
734,4932.251
735,4932.556
736,4932.556
737,4931.6406
738,4931.6406
739,4932.556
740,4932.556
741,4931.946
742,4931.6406
743,4931.946
744,4931.946
745,4933.4717
746,4932.251
747,4932.556
748,4931.3354
749,4931.6406
750,4932.556
751,4932.556
752,4931.3354
753,4931.0303
754,4932.8613
755,4932.251
756,4932.251
757,4932.8613
758,4932.556
759,4931.946
760,4931.6406
761,4932.556
762,4931.6406
763,4931.946
764,4932.251
765,4932.251
766,4931.3354
767,4932.251
768,4932.8613
769,4932.556
770,4932.251
771,4931.946
772,4931.946
773,4931.3354
774,4931.6406
775,4932.556
776,4932.251
777,4932.556
778,4932.251
779,4932.251
780,4933.1665
781,4931.6406
782,4933.4717
783,4932.556
784,4931.946
785,4931.946
786,4932.556
787,4932.251
788,4931.3354
789,4932.251
790,4931.946
791,4931.946
792,4933.1665
793,4931.946
794,4932.556
795,4931.3354
796,4931.946
797,4931.946
798,4931.3354
799,4931.6406
800,4932.556
801,4931.946
802,4932.556
803,4931.946
804,4931.3354
805,4932.556
806,4931.3354
807,4932.251
808,4931.3354
809,4932.251
810,4931.946
811,4932.251
812,4931.946
813,4932.556
814,4931.946
815,4931.946
816,4931.3354
817,4932.8613
818,4932.251
819,4931.946
820,4932.556
821,4931.946
822,4932.556
823,4931.946
824,4931.6406
825,4932.251
826,4931.946
827,4932.556
828,4932.556
829,4931.3354
830,4931.3354
831,4932.251
832,4931.946
833,4931.946
834,4931.946
835,4931.946
836,4931.6406
837,4931.6406
838,4932.8613
839,4932.251
840,4932.251
841,4931.946
842,4931.6406
843,4932.556
844,4931.6406
845,4932.8613
846,4932.556
847,4931.946
848,4930.725
849,4931.6406
850,4931.6406
851,4932.251
852,4933.777
853,4932.8613
854,4931.946
855,4931.946
856,4932.251
857,4933.1665
858,4931.946
859,4932.8613
860,4931.946
861,4931.0303
862,4931.6406
863,4932.251
864,4932.556
865,4931.6406
866,4931.0303
867,4931.6406
868,4932.556
869,4931.0303
870,4932.251
871,4931.946
872,4932.251
873,4931.3354
874,4931.946
875,4931.946
876,4932.556
877,4931.6406
878,4932.251
879,4931.6406
880,4931.6406
881,4932.251
882,4932.556
883,4931.6406
884,4932.556
885,4931.946
886,4931.3354
887,4931.946
888,4930.1147
889,4931.3354
890,4932.251
891,4931.0303
892,4932.251
893,4931.6406
894,4931.3354
895,4931.946
896,4932.8613
897,4931.946
898,4931.3354
899,4932.251
900,4932.251
901,4931.946
902,4931.6406
903,4931.946
904,4931.3354
905,4931.3354
906,4931.946
907,4931.0303
908,4932.251
909,4931.6406
910,4931.946
911,4932.556
912,4931.6406
913,4932.251
914,4931.6406
915,4932.556
916,4931.0303
917,4931.6406
918,4931.0303
919,4931.3354
920,4932.251
921,4932.251
922,4932.8613
923,4931.3354
924,4931.3354
925,4932.251
926,4932.556
927,4931.0303
928,4932.556
929,4931.6406
930,4931.946
931,4931.946
932,4931.6406
933,4931.3354
934,4932.556
935,4931.0303
936,4931.946
937,4932.251
938,4931.6406
939,4932.556
940,4931.946
941,4931.946
942,4932.556
943,4931.0303
944,4931.0303
945,4932.251
946,4931.6406
947,4931.0303
948,4931.946
949,4931.946
950,4932.251
951,4931.3354
952,4931.0303
953,4931.946
954,4931.946
955,4931.0303
956,4931.946
957,4931.946
958,4932.251
959,4931.0303
960,4932.251
961,4931.3354
962,4931.946
963,4932.556
964,4932.556
965,4931.3354
966,4931.946
967,4930.725
968,4931.6406
969,4932.556
970,4932.251
971,4931.6406
972,4931.3354
973,4931.6406
974,4931.946
975,4931.0303
976,4931.3354
977,4931.946
978,4932.251
979,4931.6406
980,4931.0303
981,4932.556
982,4931.6406
983,4930.42
984,4931.0303
985,4931.6406
986,4931.3354
987,4932.251
988,4931.6406
989,4931.6406
990,4931.6406
991,4931.3354
992,4932.251
993,4931.3354
994,4932.251
995,4931.946
996,4932.251
997,4930.725
998,4930.725
999,4931.3354
1000,4931.6406
1001,4931.3354
1002,4931.6406
1003,4931.6406
1004,4930.42
1005,4931.3354
1006,4931.946
1007,4931.0303
1008,4932.556
1009,4931.6406
1010,4931.3354
1011,4931.6406
1012,4932.556
1013,4931.946
1014,4931.946
1015,4931.6406
1016,4931.6406
1017,4931.6406
1018,4931.6406
1019,4932.251
1020,4931.3354
1021,4931.6406
1022,4931.0303
1023,4931.3354
1024,4931.6406
1025,4931.0303
1026,4931.6406
1027,4931.946
1028,4932.556
1029,4931.0303
1030,4931.3354
1031,4932.556
1032,4931.6406
1033,4932.8613
1034,4931.6406
1035,4931.6406
1036,4931.0303
1037,4931.6406
1038,4931.3354
1039,4930.725
1040,4930.725
1041,4931.946
1042,4931.946
1043,4931.3354
1044,4931.3354
1045,4931.0303
1046,4931.6406
1047,4931.6406
1048,4931.6406
1049,4931.6406
1050,4931.3354
1051,4932.251
1052,4931.0303
1053,4931.0303
1054,4931.0303
1055,4931.3354
1056,4932.251
1057,4931.0303
1058,4931.3354
1059,4931.6406
1060,4932.251
1061,4931.3354
1062,4932.251
1063,4931.3354
1064,4930.725
1065,4932.556
1066,4931.3354
1067,4931.6406
1068,4931.6406
1069,4931.6406
1070,4931.3354
1071,4931.946
1072,4930.42
1073,4931.6406
1074,4931.3354
1075,4931.6406
1076,4931.0303
1077,4931.946
1078,4931.6406
1079,4930.725
1080,4931.3354
1081,4931.3354
1082,4931.946
1083,4931.3354
1084,4930.1147
1085,4931.0303
1086,4930.42
1087,4931.6406
1088,4931.946
1089,4931.3354
1090,4932.251
1091,4931.6406
1092,4930.725
1093,4931.6406
1094,4931.946
1095,4930.725
1096,4931.3354
1097,4931.6406
1098,4931.6406
1099,4933.1665
1100,4930.725
1101,4931.6406
1102,4931.3354
1103,4932.251
1104,4931.0303
1105,4931.6406
1106,4931.0303
1107,4931.0303
1108,4931.3354
1109,4931.6406
1110,4931.6406
1111,4930.725
1112,4932.251
1113,4931.6406
1114,4931.0303
1115,4931.946
1116,4931.6406
1117,4931.3354
1118,4931.6406
1119,4931.6406
1120,4931.0303
1121,4931.3354
1122,4931.3354
1123,4931.0303
1124,4931.0303
1125,4930.725
1126,4931.6406
1127,4931.3354
1128,4931.0303
1129,4931.0303
1130,4931.0303
1131,4931.946
1132,4931.6406
1133,4931.3354
1134,4931.6406
1135,4931.946
1136,4931.3354
1137,4931.6406
1138,4931.946
1139,4931.3354
1140,4932.556
1141,4933.1665
1142,4931.6406
1143,4931.3354
1144,4931.3354
1145,4931.6406
1146,4931.3354
1147,4930.725
1148,4931.6406
1149,4931.6406
1150,4932.251
1151,4930.725
1152,4931.0303
1153,4931.0303
1154,4931.6406
1155,4931.0303
1156,4931.3354
1157,4930.42
1158,4931.3354
1159,4930.42
1160,4931.946
1161,4931.3354
1162,4931.0303
1163,4931.6406
1164,4931.3354
1165,4931.0303
1166,4932.556
1167,4930.42
1168,4931.6406
1169,4932.8613
1170,4931.6406
1171,4931.3354
1172,4931.3354
1173,4932.556
1174,4931.6406
1175,4930.725
1176,4932.556
1177,4931.0303
1178,4930.725
1179,4931.6406
1180,4931.3354
1181,4931.3354
1182,4930.725
1183,4932.251
1184,4931.6406
1185,4931.3354
1186,4931.6406
1187,4930.725
1188,4930.725
1189,4931.0303
1190,4931.3354
1191,4931.6406
1192,4931.3354
1193,4930.725
1194,4931.6406
1195,4931.3354
1196,4931.3354
1197,4931.0303
1198,4931.0303
1199,4930.42
1200,4931.3354
1201,4931.3354
1202,4931.6406
1203,4931.0303
1204,4931.6406
1205,4931.946
1206,4931.0303
1207,4931.0303
1208,4930.725
1209,4931.946
1210,4931.946
1211,4931.3354
1212,4931.6406
1213,4931.3354
1214,4931.946
1215,4932.251
1216,4931.3354
1217,4931.3354
1218,4931.6406
1219,4931.6406
1220,4931.3354
1221,4931.946
1222,4931.3354
1223,4931.946
1224,4931.6406
1225,4931.946
1226,4931.6406
1227,4931.3354
1228,4931.3354
1229,4931.3354
1230,4931.0303
1231,4931.3354
1232,4931.3354
1233,4931.0303
1234,4931.3354
1235,4931.0303
1236,4931.946
1237,4931.946
1238,4931.6406
1239,4932.556
1240,4930.42
1241,4931.6406
1242,4931.3354
1243,4931.946
1244,4931.0303
1245,4931.3354
1246,4931.946
1247,4931.946
1248,4931.6406
1249,4931.0303
1250,4931.946
1251,4932.556
1252,4930.42
1253,4930.1147
1254,4931.0303
1255,4930.725
1256,4931.3354
1257,4931.3354
1258,4930.725
1259,4931.3354
1260,4931.3354
1261,4931.6406
1262,4931.3354
1263,4932.8613
1264,4931.3354
1265,4931.3354
1266,4931.6406
1267,4931.0303
1268,4931.3354
1269,4931.946
1270,4931.3354
1271,4932.251
1272,4931.946
1273,4931.6406
1274,4931.946
1275,4931.946
1276,4931.946
1277,4931.6406
1278,4931.946
1279,4931.6406
1280,4930.725
1281,4931.0303
1282,4931.6406
1283,4931.0303
1284,4931.3354
1285,4931.6406
1286,4931.3354
1287,4930.42
1288,4931.3354
1289,4931.3354
1290,4931.6406
1291,4931.6406
1292,4931.946
1293,4931.3354
1294,4930.725
1295,4931.3354
